set_name,Release Date,English Set Name,Japanese Set Name,No Rarity,1st edition,Unlimited,# in Set,Have Images?,Type of Card Done?,Japanese Name Done?,English Name Done?,Stage Done?,Type Done?,Artist Done?,Other Notes,Links
,"March 6, 2009",Garchomp vs Charizard SP Deck Kit - Garchomp C Half Deck,対戦スターターパックSP ガブリアスVSリザードン,,,,,,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Garchomp_vs_Charizard_SP_Deck_Kit_(TCG)
,"March 6, 2009",Garchomp vs Charizard SP Deck Kit - Charizard G Half Deck,対戦スターターパックSP ガブリアスVSリザードン,,,,,,No,No,Yes,No,No,No,,
PtS,"April 18, 2009",Collection Packs Shaymin LV.X,コレクションパック,,,,,,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Collection_Packs_(TCG)
PtM,"April 18, 2009",Collection Packs Mewtwo LV.X,コレクションパック,,,,,,No,No,Yes,No,No,No,,
PtR,"April 18, 2009",Collection Packs Regigigas LV.X,コレクションパック,,,,,,No,No,Yes,No,No,No,,
DPt04,"July 8, 2009",Advent of Arceus,アルセウス光臨,,Yes,Yes,,0%,No,No,Yes,No,No,No,,
,"July 8, 2009",Arceus LV.X Deck: Grass & Fire,構築スタンダードデッキ アルセウスLV.X 草&炎,,,,,,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Arceus_LV.X_Deck:_Grass_%26_Fire_(TCG)
,"July 8, 2009",Arceus LV.X Deck: Lightning & Psychic,構築スタンダードデッキ アルセウスLV.X 雷&超,,,,,,No,No,Yes,No,No,No,,
,"July 11, 2009",Pokémon Battle Tour 09 Challenge Deck,ポケモンバトルツアー09 チャレンジデッキ,,,,,,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Battle_Tour_09_Challenge_Deck_(TCG)
,"July 18, 2009",Movie Commemoration Random Pack,映画公開記念ランダムパック,,,,,100%,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Movie_Commemoration_Random_Pack_(TCG)
LEGEND Era,,,,,,,,,,,,,,,,
L-P,September 2009 - August 2010,L-P Promotional cards,,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/L-P_Promotional_cards_(TCG)
L1HG,"October 9, 2009",HeartGold Collection,ハートゴールドコレクション,,Yes,,,0%,No,No,Yes,No,No,No,"This Japanese set was only printed in 1st edition, with all cards (including the Ultra Rare Pokémon Prime cards) also available as Reverse Holos",
L1SS,"October 9, 2009",SoulSilver Collection,ソウルシルバーコレクション,,Yes,,,0%,No,No,Yes,No,No,No,"This Japanese set was only printed in 1st edition, with all cards (including the Ultra Rare Pokémon Prime cards) also available as Reverse Holos",
